head,text,date
Blumhouse хотят возродить «Восставшего из ада» и «Крик»,"
Blumhouse хотят возродить «Восставшего из ада» и «Крик»


Новости


 
 
 
 
 
 




Кинокомпания Blumhouse, в прошлом году выпустившая успешное продолжение классического слэшера «Хэллоуин», подумывает вернуть на экраны ещё две культовые хоррор-франшизы: «Восставшего из ада» и «Крик».
«Да, мы вели переговоры по этому поводу. Нам крайне интересны оба киноцикла, но пока ни к чему конкретному мы не пришли. Хотя я определённо готов поработать над ними и открыт к предложениям», ‒ заявил глава студии Джейсон Блум в интервью Cinema Blend.
Последнее на данный момент детище Blumhouse ‒ комедийный слэшер «Счастливого нового дня смерти» ‒ стартует в российском прокате 28 февраля. Также компания работает над ещё одной частью «Хэллоуина», но официально проект пока не анонсирован.
 

19.02.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",19.02.2019
Рок на века: Вышел второй трейлер сиквела «Троллей»,"
Рок на века: Вышел второй трейлер сиквела «Троллей»


Новости


 
 
 
 
 
 




В Сети появился новый трейлер грядущего мультфильма «Тролли. Мировой тур».
Противостояние с ненасытными бергенами позади, и жизнерадостным троллям больше нечего бояться, а значит, можно петь, танцевать и обниматься. Но Розочку и Цветана ждут новые приключения, которые развернутся за пределами их родной деревни. Оказывается, мир скрывает других троллей с совершенно необычными музыкальными предпочтениями, и теперь собратьям придётся объединиться перед лицом новой опасности.
Главных героев вновь озвучат Джастин Тимберлейк и Анна Кендрик.
Мультфильм выйдет в кинотеатрах 19 марта 2020 года.
 




15.11.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",15.11.2019
Появились первые подробности ремейка легендарного «Токсичного мстителя»,"
Появились первые подробности ремейка легендарного «Токсичного мстителя»


Новости


 
 
 
 
 
 




Режиссёр картины «В этом мире я больше не чувствую себя как дома» Мэйкон Блэр снимет ремейк легендарной чёрной комедии «Токсичный мститель». Производством фильма будет заниматься студия Legendary.
Ожидается, что Блэр также напишет сценарий к перезапуску. Создатели оригинального «Токсичного мстителя» выступят продюсерами картины.
В центре сюжета – неудачник Мелвин, который привык к насмешкам и издевательствам со стороны других людей. Однажды розыгрыш заходит слишком далеко – Мелвин попадает в чан с радиоактивными отходами и превращается в чудовищного монстра с нечеловеческой силой.
Получив суперспособности, Мелвин решает бороться с преступностью в родном городе.
 
Источник: Variety

25.03.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",25.03.2019
Выход нового фильма про Джеймса Бонда снова отложен,"
Выход нового фильма про Джеймса Бонда снова отложен


Новости


 
 
 
 
 
 




Eon Productions и MGM в очередной раз перенесли премьеру 25-й части бондианы – вместо 14 февраля 2020-го шпионский экшен-триллер об агенте 007 попадёт в широкий прокат 8 апреля того же года.
Текущую версию сценария создал Пол Хаггис («Казино Рояль», «Малышка на миллион»), переписавший ранний драфт от постоянных авторов франшизы Нила Первиса и Роберта Уэйда.
В прошлом году режиссёр картины Кэри Фукунага поделился своими идеями насчёт сюжета «Бонда 25»: «Я собираюсь продолжить ту сюжетную арку, которая началась для Бонда в исполнении Дэниела Крэйга в “Казино Рояль”. Конечно, некоторые изменения точно будут. Ведь в любой истории герой должен меняться, чтобы история продолжала развиваться».
Звезда «007: Спектр» Леа Сейду вновь составит компанию Крэйгу и воплотит образ доктора Мадлен Суонн. Предполагается, что к своим ролям также вернутся Рэйф Файнс (М / Гарет Мэллори) и Наоми Харрис (Ив Манипенни). Имена других участников каста пока не разглашаются.
 

16.02.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",16.02.2019
Режиссёр «Человека-паука» снимет фильм по аниме «Твоё имя»,"
Режиссёр «Человека-паука» снимет фильм по аниме «Твоё имя»


Новости


 
 
 
 
 
 




Toho, Paramount и Bad Robot назначили Марка Уэбба (дилогия «Новый Человек-паук», «500 дней лета») режиссёром фильма «Твоё имя» ‒ голливудской киноадаптации хитового аниме Макото Синкая.
Сюжет переосмысления расскажет о юной индейской девушке, живущей в сельской местности, и парне из Чикаго, которые обнаруживают, что могут периодически обмениваться телами неким волшебным способным. Когда неминуемая катастрофа угрожает разрушить их жизни, герои должны отправиться на встречу друг другу и спасти свои миры.
Оригинальная анимационная лента стала 4-м самым прибыльным релизом в истории японского кинопроката, а также самым кассовым аниме (в зарубежном прокате «Твоё имя» собрало внушительные 355 миллионов долларов).
Сценарий картины пишет оскароносный Эрик Хайссерер («Прибытие»), а продюсированием киноверсии «Твоего имени» займутся Джей Джей Абрамс, Линдси Уэбер и Генки Кавамура.
Имена участников каста, а также даты релиза и начала съёмок фильма пока не разглашаются.
 

15.02.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",15.02.2019
Джеймс МакЭвой и Сэм Джексон в отрывках из триллера «Стекло»,"
Джеймс МакЭвой и Сэм Джексон в отрывках из триллера «Стекло»


Новости


 
 
 
 
 
 




Universal Pictures выпустили три новых отрывка из супергеройского триллера «Стекло» М. Найт Шьямалана с участием персонажей Сэмюэля Л. Джексона и Джеймса МакЭвоя.
Действие сюжета развернётся вскоре после финала «Сплита». Дэвид Данн (Брюс Уиллис) начинает преследование таинственного мужчины со сверхспособностями по прозвищу Зверь (Джеймс МакЭвой) и в итоге встречается с ним. Однако в дело вмешивается Элайджа Прайс (Сэмюэль Л. Джексон), известный как «Мистер Стекло», который хранит секреты как Данна, так и Зверя / Кевина Крамба.
Шьямалан выступил в качестве режиссера и сценариста картины, а Джейсон Блум снова взял на себя обязанности продюсера. В актёрском составе также значатся Сара Полсон, Аня Тэйлор-Джой, Спенсер Трит Кларк и Шарлэйн Вудард.
Российский релиз сиквела «Неуязвимого» и «Сплита» намечен на 17 января.
 












11.01.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",11.01.2019
Появилась дата выхода финальных эпизодов «Оранжевый — хит сезона»,"
Появилась дата выхода финальных эпизодов «Оранжевый — хит сезона»


Новости


 
 
 
 
 
 




Netflix поделился новым роликом, в котором сообщается, что заключительная глава сериала «Оранжевый — хит сезона» будет доступна 26 июля. В промо-видео к седьмому сезону главные героини сериала исполняют ключевую композицию шоу You’ve Got Time Регины Спектор.
Сериал «Оранжевый — хит сезона» вышел на стриминговом сервисе в 2013 году и тут же завоевал успех среди зрителей, став одной из первых больших удач Netflix. В центре сюжета оказывается женщина по имени Пайпер, которая попадает в тюрьму Личфилда. Поначалу она чувствует себя там чужой, но со временем понимает, что между ней и другими заключёнными много общего.
В шестом сезоне Пайпер удалось выйти на свободу, но жизнь за решёткой продолжается без неё.
 




26.07.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",26.07.2019
Съёмки второй части «Венома» могут стартовать в ноябре,"
Съёмки второй части «Венома» могут стартовать в ноябре


Новости


 
 
 
 
 
 




Уже несколько месяцев Sony активно разрабатывают продолжение «Венома», собравшего в мировом прокате $855 миллионов. По сообщениям инсайдеров, студия планирует запустить съёмки второй части кинокомикса в ноябре этого года.
На данный момент неизвестно, собирается ли Рубен Фляйшер вновь занять режиссёрское кресло. Источники отмечают, что старт производства «Венома 2» могли специально отложить до ноября, дабы Фляйшер успел полностью завершить работу над «Добро пожаловать в Zомбилэнд 2».
К своим ролям вернутся Том Харди, Мишель Уильямс и Вуди Харрельсон, воплощающий образ суперзлодея Карнажа. Над сценарием сиквела трудится Келли Марсель («50 оттенков серого»), которая также написала финальную версию скрипта первого фильма.
Официальная дата релиза «Венома 2» пока держится в тайне. По слухам, Sony подумывает выпустить вторую часть блокбастера в октябре 2020-го.
 

25.02.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",25.02.2019
"{'name': 'h1', 'itemprop': 'headline'}","{'name': 'div', 'class_': 'text'}","{'name': 'div', 'class_': 'author'}"
Пополнение в составе приквела «Клана Сопрано»,"
Пополнение в составе приквела «Клана Сопрано»


Новости


 
 
 
 
 
 




К касту фильма «Многие святые Ньюарка» ‒ приквелу культового сериала «Клан Сопрано» ‒ присоединились Кори Столл («Карточный домик», «Человек-муравей») и Билли Магнуссен («Ночные игры», «Маньяк»), сообщает Variety.
События картины развернутся в 1960-х годах и затронут Ньюаркские массовые восстания, происходившие в июле 1967-го. Известно, что в «Многих святых Ньюарка» появится главный герой оригинального шоу Тони Сопрано (а также, вероятно, его отец Джованни и дядя Джуниор).
Ранее актёрский состав пополнили Вера Фармига («Заклятие», «Мотель Бейтсов»), Джон Бернтал («Каратель») и Алессандро Нивола («Афера по-американски»), которому досталась роль Ричарда «Дики» Молтисанти – дяди Тони Сопрано и отца Кристофера Молтисанти (Майкл Империоли).
Создатель «Клана Сопрано» Дэвид Чэйз выступит продюсером и напишет сценарий вместе с Лоуренсом Коннером («Планета Обезьян», «Супермен 4»). Режиссёром ленты назначен Алан Тэйлор («Тор 2: Царство тьмы», «Терминатор: Генезис»), дата релиза пока что держится в тайне.
 

16.01.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",16.01.2019
