head,text,date
"
						
			Многоликий Локи","
«Disney» и «Marvel» назначили Майкла Уолдрона исполнительным продюсером и сценаристом пилота мини-сериала «Локи», который будет состоять из 6-8 эпизодов с внушительным бюджетом.
В новом проекте нам покажут многоликого Локи, который будет влиять на ход истории Земли в течение всего существования человечества.
Образ Локи вновь примерит Том Хиддлстон, а премьера сериала планируется на цифровом стриминговом сервисе «Disney+», запуск которого ожидается в конце года.
","
18.02.2019 | 
			Сергей Горбачев"
"
						
			Симпсоны отправляются в кино... снова!","
На недавнем «Comic-Con» Мэтт Грейнинг, автор мультсериалов «Симпсоны» и «Футурама», официально заявил, что готов приступить к работе над вторым полнометражным мультфильмом «Симпсоны в кино». 
Напомним, что первый фильм вышел аж в 2007 году. Как объясняет сам автор, такая задержка связанна с тем, что над сериалом и мультфильмом работала одна и та же команда, из-за чего было сложно найти время на создание полного метра.
Помимо полнометражных «Симпсонов», Мэтт Грейнинг не исключает и возможность продолжения «Футурамы».
","
04.08.2019 | 
			Сергей Горбачев"
"
						
			Бумажные комиксы. «Дарксайд» Грега Пака: «Апофеоз»","
Давным-давно, задолго до нашей эры, на одной грязной планетке, сплошь покрытой полями, жил презренный землерой по имени Юксас… И мечтал он лишь об одном: чтоб поскорее наступил конец света.
«Богам на нас наплевать», - свято убеждён Юксас, отрицающий любого рода молитвы: «Да если б боги и впрямь услышали ваш скулёж, они бы немедля убили вас – забавы ради». Но он не просто атеист, а, скорее, богоборец – и вот однажды решает наглядно, на собственном примере, продемонстрировать всем, чем эти понятия отличаются.


 Полоса комикса Грега Пака «Лига Справедливости. Дарксайд: Апофеоз»




 Полоса комикса Грега Пака «Лига Справедливости. Дарксайд: Апофеоз»


Отважно забравшись на Запретную гору («где его взору предстали вершители судеб – самые великие разрушители и создатели в мире»), Юксас проявил себя одновременно и как хитроумный змей, и как чудовищный льстец, и как «обманщик, способный поселить сомнение и ненависть даже в самых чистых душах» («В каждом мире есть такой человек») – в результате чего настроил богов друг против друга, развязав между ними кровопролитную войну…
Нельзя убить бога и избежать последствий.
Зверь глубоко вонзил клыки в своих создателей и выпил чашу их могущества до дна.
Ну а если убить двоих богов? Десятерых? Вообще всех богов?
Прощай, Юксас… Да здравствует Дарксайд.


 Полоса комикса Грега Пака «Лига Справедливости. Дарксайд: Апофеоз»


Устами несущей хаос «смутьянки» Кайо Грег Пак рассказывает нам и о возникновении Апоколипса - планеты, где «позабыли, что такое смех», где «люди молча исполняют всё, что им велят». А затем показывает, зачем и как именно Дарксайд оказался во вселенной, «о которой он даже не подозревал», где познакомился «с героем, таким же сильным, как он сам» (речь, как мы понимаем, идёт тут о Супермене). Заканчивает же он свой короткий, но в то же время весьма насыщенный профайл гнетущим душу напоминанием:
От гнева безумного бога не спастись никому.


 Обложка комикса Грега Пака «Лига Справедливости. Дарксайд: Апофеоз»

Читайте также:
Бумажные комиксы. «Лига Справедливости» Джеффа Джонса: «Война Дарксайда. Часть 2»
Бумажные комиксы. «Лига Справедливости» Брайана Хитча: «Заражение»
Бумажные комиксы. «Лига Справедливости» Брайана Хитча «Машины Уничтожения»
Бумажные комиксы. «Чудо-Женщина» Грега Раки: «Истина»
Бумажные комиксы. «Мистер Фриз» Пола Дини
Бумажные комиксы. «Красный Колпак и Изгои» ##5-6 / «Титаны» #10
","
14.10.2019 | 
			Filmz.ru | Максим Марков"
"
						
			Кино снимают: Рон Ховард, Пит Доктер, Джилл Солоуэй и Берт В. Ройал","


Рон Ховард приступил к разработке своего первого анимационного проекта. В планах Ховарда совместно с компанией «Imagine Entertainment» поставить несколько мультфильмов, над одним из которых он поработает в качестве режиссёра. Проект получил название «Уменьшение Трихорна», а в основу сюжета ляжет книга Флоренса Пэрри Хайда. История расскажет о парне, который обретает способность уменьшаться в размерах после того, как находит странную настольную игру. Другие мультфильмы, которые должны будут выйти в рамках сотрудничества, получили названия «Радужный змей», «Зеро» и «Муттник».


Пит Доктер снимает новый мультфильм для «Pixar», который планируется выпустить в прокат 19 июня 2020 года под названием «Душа». Сюжет мультфильма отправит зрителя в космическое путешествие, в котором будут даны ответы на самые важные вопросы. Напомним, что Пит Доктер уже подарил студии два анимационных хита: «Вверх» и «Головоломка». Продюсером его новой работы выступает дебютантка большого экрана Дана Мюррей.


Джилл Солоуэй пришла на смену Брайану Сингеру в качестве режиссера новой «Рыжей Сони», также она напишет сценарий к картине. Сингер выбыл из этого проекта, как и из прочих, по всё той же причине: из-за сексуального скандала с его участием и неадекватного поведения на съемках «Богемской рапсодии».


Берт В. Ройал поставит спин-офф своей же подростковой и финансово успешной комедии «Отличница легкого поведения» с Эммой Стоун в главной роли. Тот фильм рассказывал о скромной девушке, которая учится в очень строгой школе; однажды кто-то пускает слух, что она лишилась невинности, и все начинают над ней насмехаться - но героине удаётся обернуть ситуацию в свою пользу. События новой картины развернутся в той же самой школе и будет поднимать похожие темы. Однако Эмма Стоун в спин-оффе уже не появится, в центре сюжета окажутся новый персонажи.
","
06.07.2019 | 
			Сергей Горбачев"
"
						
			Новое поколение «Ходячих Мертвецов»","
Из ролика становится понятно, что рабочее название спин-оффа «Монумент» (Monument). Грядущий сериал расскажет историю первого поколения, которое будет выращено после падения цивилизации в результате зомби-апокалипсиса.
Со слов программного директора «AMC» Дэвида Мэддена — «Монумент» не будет похож на два предыдущих шоу. Не исключено, что новый сериал и вовсе может отказаться от приписки «Ходячие мертвецы», поскольку у него будет совершенно другая тональность. Шоу будет развиваться совершенно иначе.

","
17.08.2019 | 
			Сергей Горбачев"
"
						
			Русские снимают для американцев","
Майк Шинода выпустил первый за последний год клип – им стало видео на песню «fine», снятое российскими режиссёрами Дмитрием Коммом и Егором Барановым. Композицию «fine» Шинода написал специально для саундтрека фантастического фильма «Аванпост», который вышел в российский прокат в ноябре.
Съёмки клипа проходили в Голливуде, на студии, где создавались фильмы франшизы «Люди Икс» и множество других мировых кинохитов. Над компьютерной графикой работала команда «PREMIER Studios VFX».

","
04.12.2019 | 
			Сергей Горбачев"
"
						
			Ни дня без Бергмана: «Час волка» (1968)","
«Час волка» (Vargtimmen), Швеция, 1968; реж. Ингмар Бергман, в ролях: Макс фон Сюдов, Лив Ульман, Ингрид Тулин, Эрланд Юзефсон, Гертруд Фрид, Георг Рюдеберг, Ульф Юханссон, Бертил Анденберг, Ленн Юртсберг, Гудрун Брост, Найма Вифстранд.
Жена исчезнувшего Юхана Борга рассказывает о беспокойной болезни художника, знакомстве с неким бароном и его окружением, а также об особом отношении мужа к предрассветному часу, когда к одним приходит смерть, а к другим - кошмары...


Кадр из фильма Ингмара Бергмана «Час волка»

Ингмар Бергман понял, что у него получается рассмешить зрителя, включив комический эпизод в мелодраму «Женщины ждут» . Оценив успех, он поставил несколько комедий - и некоторые из них были довольно удачными. Точно также он приближался к тому, чтобы зрителя напугать - причём напугать не скукой или заумностью своих произведений, а буквально: сделать так, чтоб было страшно.
Если не брать в расчёт шпионский триллер «Такого здесь не бывает» (где страх носит довольно условный характер), и не учитывать, например, «Седьмую печать», от и до пропитанную боязнью смерти (но не являющуюся при этом фильмом ужасов), то можно сказать, что впервые Бергман обратился к хоррору в одном из финальных эпизодов ленты «Лицо», где разгневанный маг не без удовольствия пугает отрицающего его способности доктора. Затем последовал «Девичий источник» с рядом леденящих душу сцен, ещё позднее - драмы «Молчание» и «Персона», отдельные эпизоды которых были наэлектризованы тем самым напряжением, что характерно для «ужасающего» жанра.
Но только в «Часе волка» Бергман дал себе волю, превратив хронику распадающегося сознания в непрекращающийся кошмар, полный кафкианского абсурда.


Кадр из фильма Ингмара Бергмана «Час волка»

Режиссёр работает с жанром по тем же правилам, что в ходу и сегодня. Титры, сообщающие о пропавшем герое и прочитанных автором дневниках. Альма, отвечающая в камеру на незаданные вопросы. Ожидание рассвета с часами в руках (Борг следит, как медленно тащатся секунды, сетуя, что «здесь минуты кажутся вечностью»).
Внезапный визит старой дамы, сообщающей, что ей 216 лет. Серия встреч, в реальности которых следует засомневаться после упоминания о подозрении на некую болезнь - как мы понимаем, болезнь душевную. Если знакомство с бароном, владеющим этим островом, вопросов ещё не вызывает, то появление блондинки, показывающей синяк на груди и просящей расстегнуть ей платье, уже подозрительно. Обратите внимание, что эти две сцены сняты со схожего ракурса, только в первом случае мужчина спускается к художнику по траве, а во втором женщина приближается к нему по камням. «Случится нечто ужасное, - вспоминает она прочтённое письмо. - Некоторые сны станут явью. Конец близок».


Кадр из фильма Ингмара Бергмана «Час волка»

И уж тем более сомнительна третья встреча - с аналитиком, который «экзаменует души». Борг бьёт преследователя и просит заткнуться. Но попытка отмахнуться от досаждающих ему призраков не удаётся: художник с женой отправляются на ужин в замке.
Здесь зритель волен впасть в затяжной ступор: если до этого Альма читала о прочих обитателях острова в дневнике мужа, то тут она сама (нормальная, как мы думаем) становится участницей событий. Так это всё же видения - или всё по-настоящему?.. Как сочетаются её объятья («Мы больше не целуемся. Я могу пересчитать все наши поцелуи») с происходящим вокруг?.. И как понять другой её кошмар, в котором обыденный рассказ вдруг обрастает ужасающими подробностями?..


Кадр из фильма Ингмара Бергмана «Час волка»

Хитрец Бергман не развеивает эти сомнения вплоть до самого финала - и лишь в последних кадрах допускает мысль, что любящая женщина и сама становится такой же, как и объект её любви, разделяя с ним не только реальную жизнь, но и потустороннюю... Сравните, кстати, это с дилеммой, озвученной в фильме «Сквозь тусклое стекло», безусловно рифмующемся с «Часом волка»: там Макс фон Сюдов (которому у Бергмана, как мы видим, часто достаются «пограничные» роли) играет, наоборот, мужа, сочувствующего душевнобольной жене, но всё-таки не принимающего на себя в полной мере её тревоги.


Кадр из фильма Ингмара Бергмана «Час волка»

Один из важнейших моментов картины: хозяйка замка подводит гостей к портрету Вероники Фоглер, бывшей любовницы Борга, - но сам портрет нам при этом не показывают. Мы лишь можем догадываться, каков он, рисовать его в своём воображении. И хотя в данной конкретной сцене нет ровным счётом ничего страшного, этот приём - один из основополагающих столпов настоящего хоррора, где неопределённость и неведение пугают куда сильнее закреплённого знания.


Кадр из фильма Ингмара Бергмана «Час волка»

Строго говоря, в первой части фильма вообще нет ничего «этакого» (хорошие хорроры и сейчас не спешат пугать, попервоначалу завлекая публику как можно глубже в приготовленную для неё кроличью нору). И чтобы приступить, наконец, к самому интересному, Бергман вновь даёт заглавный титр, «Час волка», разделяя тем самым кино на две почти равные половины. «Именно в этот час к нам приходят кошмары», - объясняет герой и по секрету рассказывает жене о том, что случилось с ним на утёсе: рыбача, он вступил в борьбу с укусившим его мальчиком, убил его и сбросил в воду. Было это или не было?.. И кем считать этого мальчугана?..


Кадр из фильма Ингмара Бергмана «Час волка»

Незваный гость приносит вдруг пистолет - якобы для самообороны. Произведя три выстрела в сторону Альмы, Борг кидается в лабиринты то ли сна, то ли безумия. Пожилая мать барона просит помочь ей снять чулки, поцеловав затем ногу. Сам хозяин замка от ревности - потрясающий момент!!! - поднимается по стене и забирается на потолок. Старуха снимает шляпу, а вслед за ней и лицо, бросая в бокалы вынутые глаза.
«Вы видите только то, что желаете видеть», - говорит превращающийся в птицу провожатый, оставляя художника наедине (только наедине ли?) с покрытым простынёй обнажённым телом - его былой возлюбленной (даже сейчас не всякая актриса рискнёт столь раскованно выступить, а ведь это уже перешагнувшая сорокалетний порог Ингрид Тулин, одна из любимиц Бергмана; впрочем, спустя ещё несколько лет она пойдёт куда дальше у Тинто Брасса в «Салоне Китти»)... «Зеркало треснуло, - признаёт Борг. - Но что отражается в обломках?..»


Кадр из фильма Ингмара Бергмана «Час волка»

Откажемся от трактовок. Позволим только одно допущение: не заложил ли автор подсказку в именах и фамилиях персонажей? Борг - пожилой герой «Земляничной поляны», Юхан - мальчик из «Молчания», Альма и госпожа Фоглер - героини «Персоны», к тому же, как мы уже отмечали, Фоглер был центральным персонажем «Лица». Конечно, существует вероятность, что Бергману просто нравились определённые имена - или он предпочитал не заморачиваться с придумыванием новых фамилий. Однако в контексте данного сюжета - судьба Художника - подобные повторения обретают особенный смысл: не намекает ли тем самым режиссёр о себе?..
Естественно, мы вольны видеть Бергмана в каждом его фильме (и в какой-то мере так оно и есть), но возьмём шире: ведь всякий раз, рассуждая о бедах творческого человека, Бергман явно знал, о чём говорил, и не важно, в какую эпоху или в какие обстоятельства он уводил своих героев. И если рассматривать «Час волка» с точки зрения отношения к Художнику со стороны обывателей, то очевидно, что тут мы имеем дело с продолжением темы, уже заявленной в «Вечере шутов» (про циркачей) и вышеупомянутом «Лице» (про то ли магов, то ли иллюзионистов). 


Кадр из фильма Ингмара Бергмана «Час волка»

В данном случае Юхана Борга обступают призраки его богатых - но пустых - почитателей. В их отношении звучит слово «людоеды». Они могут любезничать с ним, могут быть снисходительны, могут смеяться, могут тискать в объятиях. Они могут любить его, оставаясь при этом совершенно равнодушными. Для них он - ровно такое же развлечение, как и крошечный кукольный (?) человечек, исполняющий арию из моцартовской «Волшебной флейты» (которую Бергман, кстати, экранизирует в следующем десятилетии). Они душат его - с неизменно вежливыми улыбками на лицах. 


Кадр из фильма Ингмара Бергмана «Час волка»

Некоторые живут с этим, не испытывая особых проблем. Для Борга же они стали своеобразным аналогом «Капричос» Франсиско Гойи - вспомним сцену из начала фильма, в которой он показывает Альме тетрадь со своими рисунками, описывая их словами. Дама, вместе со шляпой снимающая и лицо, позднее явится ему в кошмаре - отчего можно сделать вывод, что и все прочие обитатели замка были им уже нарисованы. Нелишним будет тут напомнить, что наиболее известный офорт Гойи из его легендарной серии носит название «Сон разума рождает чудовищ» - что идеально описывает и содержание бергмановского ужастика.
Закончим на том, что «Час волка» и поныне остаётся образцом, который следовало бы иметь в виду современным мастерам жанра: Бергман плохому уж точно не научит. 


Кадр из фильма Ингмара Бергмана «Час волка»

См. также:
Ни дня без Бергмана: «Персона» (1966)
Ни дня без Бергмана: «Молчание» (1963)
Ни дня без Бергмана: «Сквозь тусклое стекло» (1961)
Ни дня без Бергмана: «Девичий источник» (1960)
Ни дня без Бергмана: «Лицо» (1958)
Ни дня без Бергмана: «Седьмая печать» (1957)
Ни дня без Бергмана: «Вечер шутов» (1953)
Ни дня без Бергмана: «Такого здесь не бывает» (1950)
","
18.08.2018 | 
			Filmz.ru | Максим Марков"
"
						
			Ни дня без Бергмана: «Персона» (1966)","
«Персона» (Persona), Швеция, 1966; реж. Ингмар Бергман, в ролях: Биби Андерсон, Лив Ульман, Маргарета Кроок, Гуннар Бьёрнстранд, Йорген Линдстрем.
Госпожа Фоглер, знаменитая актриса, внезапно замолчала посредине «Электры». Душевное расстройство (вскоре она перестала разговаривать совсем) довело её до больницы, где к Элизабет приставили молодую медсестру Альму. Вдвоём они переезжают в летний домик у моря, где по-настоящему сближаются - престранным образом...


Кадр из фильма Ингмара Бергмана «Персона»

Бессмысленно разбирать «Персону» на составные части: этот фильм надо увидеть и прочувствовать, словами его не описать. Если кто-то вдруг полагал, что за предыдущие двадцать шесть картин уже познал Бергмана, то его 27-й фильм решительно всё перечёркивает и одним только сновидческим прологом громогласно заявляет: вы знали какого-то другого Бергмана! Настоящий Бергман только начинается.


Кадр из фильма Ингмара Бергмана «Персона»

Первые минуты «Персоны» - очередной бунюэлевский сюр: заряжается киноаппарат, начинает крутиться плёнка с каким-то мультфильмом, вдруг мелькает немая клоунада с участием дьявола, снятая Бергманом много лет назад для «Тюрьмы», крупно показывают закалываемого агнца (кровь и кишки), но главный акцент - вбиваемый в ладонь гвоздь, самая что ни на есть очевидная отсылка к распятию. Зритель тут волен задаться вопросом: «Это вообще уже фильм?..» - но вот автор показывает нам лежащие тела - мёртвые? или спящие?.. - и останавливается на подростке, в котором мы узнаём повзрослевшего мальчика из «Молчания», с той же самой книгой Лермонтова в руках.
Камера вновь фокусируется на его ладони - только в этот раз он прикладывает её не к вагонному окну, а к расплывающемуся, теряющему очертания портрету, в котором смешиваются, как может показаться (но первоначальное сомнение будет подтверждено позднее), два разных женских лица... Затем - продолжением сна - следуют беспрецедентные для Бергмана титры, которые перемежаются резкими вставками-кадрами...
Да, это точно не тот Бергман, которого можно было узнать, наблюдая, как развивается его творческий путь. На двадцатилетие своей работы в кино, режиссёр подготовил миру сюрприз: фильм революционно новой формы и принципиально нового содержания.


Кадр из фильма Ингмара Бергмана «Персона»



Кадр из фильма Ингмара Бергмана «Персона»

Конечно, «Персона» выглядит идеальной парой к «Молчанию»: две женщины, больная и здоровая, творческая натура и простолюдинка. Если б предыдущую картину по какой-то причуде не занесли в так называемую «трилогию веры», вопроса о дилогии даже не стояло бы: тут и вышеупомянутый мальчик, и принципиальное молчание одной из героинь, и очевидное противопоставление по-своему роскошного отеля предельному минимализму голых больничных стен и безлюдного острова.
Но Бергман раскидывает по фильму и другие крючки. Фамилия Фоглер, например, уже встречалась нам в его ленте «Лицо»: там её носил маг-иллюзионист, будто бы лишённый голоса (!). Кадр с пауком из пролога мгновенно напоминает о Боге-пауке из драмы «Сквозь тусклое стекло» (не говоря уже о том, что съёмки вновь проходили на полюбившемся Бергману острове Форё). Хронику самосожжения буддийского монаха (кстати, тут у Бергмана впервые появляется телевизор), а также знаменитую фотографию мальчика из варшавского гетто (с поднятыми руками под дулом фашистского автомата) вполне можно расценить как эхо «Причастия», где герой всё того же Макса фон Сюдова смертельно подавлен из-за боязни атомной бомбы (как страшен мир - вот общий знаменатель).
А сопоставление двух разных по характеру героинь разве не проводилось уже в психологической «Жажде» и менее удачных «Женских грёзах»? А лето на острове разве не проводили также герои, собственно, «Летней игры» и «Лета с Моникой»?..
«Персона», таким образом, вобрала в себя всего предыдущего Бергмана – вывернув в совершенно ином, более высоком качестве.


Кадр из фильма Ингмара Бергмана «Персона»



Кадр из фильма Ингмара Бергмана «Персона»

Режиссёр органично объединяет здесь и две свои страсти: к пространным монологам - и в то же время к эстетскому изображению. Молчащая (и чуть ли не «великая») актриса становится идеальной слушательницей для 25-летней медсестры с её бесконечными рассказами: пытаясь вовлечь новоиспечённую «подругу» в разговор, та до поры до времени делится с ней многочисленными подробностями личной жизни. С этого и начинается их знакомство: представившись, Альма в нескольких словах описывает свою биографию, а позднее - за чисткой грибов или лёгким массажем, за сигареткой или бокалом вина, перед сном или вместо сна - углубляется в неё настолько, что не может просто остановиться («Никто никогда не слушал меня. Ты первая персона, которая меня слушает»; «Чем моя жизнь может быть интересна тебе?»).
Эти фрагменты одностороннего диалога достигают пика в истории про спонтанный секс с незнакомцем (и сделанным в результате абортом). И вы наверняка удивитесь, когда поймёте, что в одной из самых эротичных и сексуально заряженных сцен в истории мирового кино ровным счётом ничего не показано.


Кадр из фильма Ингмара Бергмана «Персона»



Кадр из фильма Ингмара Бергмана «Персона»

Почти встык идёт волшебный эпизод  иного рода: Альме кажется (?), что Элизабет приходит к ней ночью (в свой черёд и она отправится с «ответным визитом»). И вдруг начинается уже совсем другое кино, кино не столько слов, сколько изображения - что подчёркнуто ещё и моментом, когда безмолвная Фоглер фотографирует то ли «нас», то ли снимающую её кинокамеру. Эта кинокамера на миг воочию появится ближе к концу, но мы и без того помним о её незримом существовании.
Так, затеянный Бергманом триллер (медсестра случайно разбивает стакан, но оставляет осколок, мучительно желая, чтобы актриса на него наступила) завершается самым что ни на есть возмутительным - и вошедшим во все учебники - образом: не выдержав нарастающего между героинями напряжения, обрывается и сгорает ... плёнка, зафиксировавшая для вечности их отношения. В финале же плёнка (вновь заряженная в киноаппарат) прокрутится до конца; известно о планах мэтра назвать свой фильм «Кинематограф» (что тогда символизировали бы эти две женщины?) - пожалуй, хорошо, что в итоге он от этой идеи отказался. Не уменьшив, впрочем, числа иных составивших ленту загадок.


Кадр из фильма Ингмара Бергмана «Персона»



Кадр из фильма Ингмара Бергмана «Персона»

Главная из которых, конечно же: а чем этот фильм вообще заканчивается? Что всё это значит?.. Отчего это господин Фоглер принимает за жену другую? Почему Бергман вдруг (опять это «вдруг») повторяет одну и ту же сцену с двух разных ракурсов, сперва вглядываясь в лицо слушающей актрисы, а затем - в лицо говорящей медсестры? И как трактовать прославленный кадр, идеально совместивший половинки двух женских лиц в одно целое?.. Волей-неволей задумаешься, а не повлияла ли как-то «Персона», допустим, на «Бойцовский клуб» или на совсем свежую «Талли» - пусть это и примеры из совершенно другой, несопоставимой «оперы»...
А может, код к этой экзистенциальной драме заключён во фразе лечащего врача «Реальность бесчеловечна»? Или в том неоправданном (как будто бы) взгляде на камни, который внезапно бросает героиня?.. Или в незапечатанном письме, давшем старт затяжному конфликту? Или в монологе Альмы о будущем?.. Или в её странном подозрении «Не раздваиваюсь ли я?..» Или в кадре, где она отражается в озере?..
«Персона» - как никакой иной доселе бергмановский фильм - полна загадок, разрешать которые предстоит самому зрителю, не просто посмотрев кино, но его прочувствовав.


Кадр из фильма Ингмара Бергмана «Персона»

См. также:
Ни дня без Бергмана: «Молчание» (1963)
Ни дня без Бергмана: «Причастие» (1962)
Ни дня без Бергмана: «Сквозь тусклое стекло» (1961)
Ни дня без Бергмана: «Лицо» (1958)
Ни дня без Бергмана: «На пороге жизни» (1958)
Ни дня без Бергмана: «Женские грёзы» (1955)
Ни дня без Бергмана: «Лето с Моникой» (1953)
Ни дня без Бергмана: «Летняя игра» (1951)
Ни дня без Бергмана: «Жажда» (1949)
Ни дня без Бергмана: «Тюрьма» (1949)
","
13.08.2018 | 
			Filmz.ru | Максим Марков"
"
						
			Вампир Лестат обретет вторую жизнь","
Стриминговый сервис «Hulu» начал разработку телеадаптации романа Энн Райс «Вампирские хроники», шоураннером проекта назначена Ди Джонсон («Нэшвилл», «Хорошая жена»).

В центре сюжета окажется происхождение одного из главных персонажей романа - вампира по имени Лестат, которого в 1994 году в «Интервью с вампиром» блестяще сыграл Том Круз.
Исполнительными продюсерами проекта выступают Энн Райс и Кристофер Райс, также они займутся адаптацией сценария.
Другие подробности сериала пока не завозили, но мы продолжаем внимательно следить.
","
22.02.2019 | 
			Сергей Горбачев"
"
						
			Рецензия на фильм «Зелёная книга»","
«Зелёная книга» (Green Book), США, реж. Питер Фаррелли, в ролях: Вигго Мортенсен, Махершала Али, Линда Карделлини, Димитар Маринов, Икбал Теба.
В 1962-м году чернокожий доктор Дональд Ширли, «великий американский артист, настоящий виртуоз» (и не доктор вовсе, а пианист), нанимает гангстероподобного Тони «Болтуна» в качестве не просто водителя, но человека, который всегда будет рядом. Им предстоит двухмесячный тур по американскому Югу – по местам, где к неграм, как известно, традиционно относятся не очень.

Лишившись (неожиданно) поддержки своего младшего брата, Питер Фаррелли к удивлению многих снял хит, совершенно непохожий на свои предыдущие произведения – и заслуженно претендующий сейчас на премию «Оскар» (вот посмеёмся, если он её действительно получит). Вслед за многими своими собратьями по комедийному жанру (вспомним хотя бы Адама МакКея, от «Телеведущего» перепрыгнувшего к «Власти»), известный своими по большей части вульгарными работами режиссёр на старости лет вдруг решил показать миру, что вовсе не лишён изящных манер и некоего кинематографического благородства – и представил картину, в которой смешное органично сочетается с драматичным: идеальная смесь для того, чтоб тебя полюбили не только зрители, но и профессионалы.

Ещё более идеален сюжет: рассказ о зарождающейся дружбе чёрного музыканта-сноба с простым итальянским вышибалой-шоферюгой, который до этого брезгливо выбрасывал стаканы, из которых только что пили негры. Для Америки с её неизживаемым чувством вины это попросту беспроигрышный вариант – при помощи которого уже немало киношников выбило серию завидных страйков.
Да, вроде бы совсем недавно в США притесняли людей с другим цветом кожи, и вынесенная в заголовок «Зелёная книга» - это справочник гостиниц, где можно было останавливаться тем, кого сегодня мы политкорректно называем афроамериканцами (хотя, говорят, и на этот счёт уже существуют новые правила). И в Голливуде этой тёмной страницы своего прошлого отнюдь не стесняются, а напротив – всячески её пестуют, делая материалом то одного фильма, то другого: смотрите, мол, мы всё признаём, ничего не отрицаем – но мы хотим стать лучше и обязательно станем!.. Представить в современной России подобное отношение к советской истории почти невозможно – ведь даже мельчайшая крупица критики в адрес былого строя может вызвать депутатотрясение самого что ни на есть прискорбного уровня.

Тем забавнее видеть в этом сугубо американском фильме «русский след»: по ходу дела выясняется, что главный герой учился в Ленинградской консерватории (оказавшись там первым негром), а сейчас гастролирует в составе трио, где виолончель и контрабас говорят с ним по-русски. Возможно, именно пребывание в Советском Союзе настроило Дона Ширли (это реальный персонаж, как и его водитель) отправиться в путешествие по местам, где ему далеко не все рады. Где негры всё ещё вкалывают на плантациях, где даже обеспеченному чернокожему в магазине не разрешают примерить костюм, где таким, как он, нельзя находиться на улице после заката. Где даже самые радушные хозяева, только что аплодировавшие твоему виртуозному исполнению, вежливо, но бескомпромиссно попросят тебя сходить в уборную не в доме, а во дворе – потому что так всегда было принято.
«Нужна смелость, чтобы изменить людей», - объяснит в финале смысл этого фильма не кто-нибудь, а грустный русский, отчего тем более обидно, что наши кинематографисты, преимущественно, всю эту смелость давно растеряли.

При этом «Зелёная книга», безусловно, глубоко патриотичное кино, как дважды два доказывающее, что даже малограмотный (путающий Орфея с феями и называющий Шопена Джо Пеном) без двух минут бандит, на спор съедающий за час двадцать шесть хот-догов, может испытывать глубокие чувства и умилённо вздыхать: «Я и не знал, что у нас такая красивая страна», - резюмируя свою затяжную поездку. И в первый раз, когда строптивый пассажир заставил его поднять выброшенный в окно машины стакан от колы, Тони, конечно, недовольно поморщился, но потом уже подобной ошибки наверняка больше не совершал, ибо понял: в твоих собственных силах либо засрать свою родину, либо преобразить к лучшему.

И в качестве постскриптума (который хочется вставить просто потому, что «P.S. - как колокольчик в Седьмой симфонии Шостаковича»): конечно, лауреатом главного «Оскара» «Зелёная книга» выглядела бы немножечко странновато – это милый, но всё-таки не самый выдающийся фильм на свете (хотя если противопоставлять его «Чёрной Пантере» - то неоспоримый шедевр). Но что-нибудь взять картина вполне способна (и уже взяла приз Гильдии продюсеров): пусть это и не веха в истории кино, но кино по-настоящему симпатичное и заслуживающее как нашей улыбки, так и академического поощрения.
Читайте также:
«Оскар-2019»: все номинанты на премию Американской киноакадемии
«Золотой глобус 2019». Победители
Рецензия на фильм «Чёрная Пантера»
Рецензия на фильм «Две королевы»
Рецензия на фильм «Ночная смена»
","
23.01.2019 | 
			Filmz.ru | Максим Марков"
