head,text,date
Джеймс Ганн опубликовал пробы собаки со съемок «Отряда самоубийц»,"Со съемочной площадки «Отряда самоубийц 2» уже начали поступать первые фото с актерами в ярких костюмах, а режиссер Джеймс Ганн опубликовал в Instagram «очень важные пробы» вместе с померанским шпицем Джорджи. «Очень важные пробы вместе с моей подругой Джорджи с площадки „Отряда самоубийц“, — написал Ганн под роликом. — PS. Джорджи сказала, что любит меня гораздо сильнее, чем Тома Холланда. Прости, Том!»«Отряд самоубийц 2» расскажет об очередной команде суперзлодеев, собранных Амандой Уоллер в качестве пушечного мяса, действующего в интересах правительства. Под угрозой смерти она заставляет их выполнять секретные операции, о которых не должен знать остальной мир. Если что-то пойдет не так, любым членом отряда можно легко пожертвовать и поставить на его место другого преступника.В первый «Отряд самоубийц» входили Дэдшот, Харли Квинн, Капитан Бумеранг, Убийца Крок и Дьябло. В новом фильме невольными агентами правительства станут Бронзовый Тигр, Человек-в-Горошек, Король Акул, Миротворец и Крысолов. Предполагается, что разбираться они будут с амбициозным и харизматичным злодеем, известным под именем Генерал.Нажмите «Буду смотреть», и мы предупредим вас, когда фильм выйдет в кино.",14 октября 2019
Минкультуры отказало в прокате отдельным эпизодам фильма «Дау»,"Министерство культуры отказало в выдаче прокатного удостоверения четырем фильмам экспериментального режиссерского проекта Ильи Хржановского «Дау». Ведомство усмотрело в эпизодах «ДАУ. Наташа», «ДАУ. Новый человек», «ДАУ. Нора Сын», «ДАУ. Саша Валера» материалы, пропагандирующие порнографию.«В соответствии с постановлением правительства и на основании административного регламента Минкультуры России по предоставлению государственной услуги по выдаче прокатных удостоверений на фильмы, созданные в РФ или приобретенные за рубежом для проката на ее территории, принято решение об отказе в выдаче прокатных удостоверений на фильмы „ДАУ. Наташа“, „ДАУ. Новый человек“, „ДАУ. Нора Сын“, „ДАУ. Саша Валера“ (режиссер — Илья Хржановский)», — говорится в сообщении Минкультуры.«Дау» — проект невиданного масштаба. Работа над лентой о жизни и карьере советского физика Льва Ландау началась в 2006 году, а сами съемки стартовали в 2008-м и продлились три года. Для фильма в Харькове был выстроен своеобразный «парк советского периода». Хржановский практиковал метод полного погружения в роль, из-за чего актеры круглосуточно жили в декорациях. Режиссер считал, что им нужно пройти через все испытания, которым мог подвергнуться советский человек в сталинскую эпоху. Граница между игрой и реальностью была размыта, для расчетов на съемочной площадке актерам даже выдавали советские деньги. Все это послужило поводом для обвинений режиссера в жестоком обращении с творческим коллективом фильма.В общей сложности было отснято 700 часов материала. Полностью «Дау» демонстрировался в начале 2019 года в Париже в рамках специальной экспозиции, показ шел 24 часа в сутки без перерывов. Подробнее о «Дау» КиноПоиск рассказывал в материалах «Диснейленд в коммуналке» и «11 вопросов о „Дау“: Что нужно знать о проекте, вызвавшем столько скандалов».Глава департамента кинематографии Ольга Любимова отметила, что «Дау», представленный в Минкультуры для получения прокатного удостоверения, состоял из 10 эпизодов.«Шесть из них абсолютно беспрепятственно получили прокатное удостоверение, — сообщила Любимова. — Четырем последним эпизодам огромного международного проекта, к сожалению, отказано в выдаче удостоверения».«Это тот редкий случай, когда мы вынуждены признать, что мы не можем выдать прокатное удостоверение на последние эпизоды», — добавила чиновница и уточнила, что некоторым сценам, показанным в этих эпизодах, нельзя присвоить рейтинг 18+.Представитель режиссера отказалась комментировать отказ в выдаче удостоверения.Источник: «Интерфакс»Подписывайтесь на канал КиноПоиска в Telegram, чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.",26 ноября 2019
Энди Серкис спел «Bohemian Rhapsody» в образе премьер-министра Терезы Мэй,"Энди Серкис опять спародировал премьер-министра Великобритании Терезу Мэй, вновь представив политика похожей на Голлума. На этот раз актер исполнил в этом образе песню группы Queen «Bohemian Rhapsody», изменив текст композиции, чтобы высмеять сторонников Brexit.

В ролике показан бывший премьер-министр Дэвид Кэмерон, стоявший у истоков движения по выходу Великобритании из Европейского союза, а также Борис Джонсон и Майкл Гоув, которые использовали Brexit для продвижения собственных политических карьер. Но основной целью видео остается Мэй.


Финальные строки практически в точности копируют оригинал: «Никто не важен. Всякому ясно: никто не важен для меня».


6 июня зрители смогут увидеть Серкиса в комедии «Фларски».


Подписывайтесь на канал КиноПоиска в Telegram, чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.",18 января 2019
Марк Руффало хочет увидеть на экране битву Халка с Росомахой,"Выступая на Comic-Con в Токио, исполнитель роли Брюса Бэннера/Халка Марк Руффало рассказал, что обсуждал с главой Marvel Кевином Файги свое будущее в супергеройской киновселенной. По словам актера, один из самых интересных вариантов для него — показать на большом экране противостояние Халка и Росомахи.«Только на прошлой неделе Кевин Файги спросил, есть ли у меня идеи или истории для Халка, — говорит Руффало. — И я сказал: „Ага, думаю, есть еще истории, которые надо рассказать“. Он сказал: „Давай ты зайдешь и расскажешь мне о них, и мы посмотрим, найдется ли для них место во вселенной Marvel“».Актер не раскрыл, состоялась ли уже повторная встреча с Файги, но уточнил, что сам хотел бы увидеть на экране именно битву Халка с Росомахой.За годы существования Халк и Росомаха неоднократно встречались на страницах комиксов. Самая первая битва произошла в 1974 году в 181-м выпуске «Невероятного Халка», где состоялся дебют Росомахи. Тогда он еще не был самым узнаваемым членом Людей Икс. Старший редактор Рой Томас, сценарист Лен Уэйн и художник Джон Ромита-ст. придумали его в качестве агента канадского правительства и противника для Халка. Лишь после этого Росомаха стал частью команды мутантов профессора Ксавье.После слияния Fox и Disney Росомаха вместе с остальными мутантами перешел к Marvel. Никакой точной информации о будущем Людей Икс в киновселенной пока нет, но Файги намекнул, что они обязательно появятся в одном из фильмов франшизы. Дебютная история Росомахи может в итоге стать хорошей основой для введения мутантов в киновселенную.Источник: ComicBook.com",26 ноября 2019
Трейлер фильма «Кристофер Робин»: Винни Пух и все-все-все,"В детстве Кристофер Робин (Юэн МакГрегор) играл и гулял в чаще леса со своими друзьями Винни Пухом, Хрюней, Тигрулей, осликом Ушастиком и многими другими. Но с возрастом ему пришлось променять веселые приключения на семью и серьезную работу. Теперь друзья из прошлого должны вернуться, чтобы помочь Кристоферу и напомнить ему о веселом ребенке, спрятанном внутри каждого взрослого.

«Кристофер Робин» появится в российских кинотеатрах 2 августа.",10 июля 2018
Жена Романа Полански отказалась от членства в киноакадемии,"Эмманюэль Сенье, жена постановщика Романа Полански, отказалась вступить в ряды Американской академии кинематографических искусств и наук. Решение Сенье продиктовано действиями киноакадемии, ранее исключившей Полански из списка своих членов из-за обвинений в сексуальных домогательствах. Об этом сообщает газета Le Journal du Dimanche, куда актриса написала открытое письмо.


Как пишет звезда драмы «Жизнь в розовом цвете», приглашение киноакадемии — «оскорбительное предложение». «В академии, наверное, решили, что я совершенно бесхарактерна и готова ухватиться за любую возможность продвинуть свою карьеру. Словно я могу моментально забыть, что последние 29 лет я замужем за одним из величайших режиссеров мира».


«Я люблю его, он мой муж и отец моих детей, — продолжает Сенье. — Его изгнали словно парию. И эти безымянные академики решили, что я рвану к славе у него за спиной? Потрясающее лицемерие! Это предложение — оскорбление для меня. Я не собираюсь больше молчать. Они оскорбили меня, прикрываясь желанием защитить женщин!»


Сенье заявляет, что сама является феминисткой и поддерживает своего мужа, который подарил миру множество незабываемых женских персонажей. Актриса считает, что киноакадемия исключила Полански из желания угодить нынешним трендам.


Полански лишился членства в мае. Вместе с ним академия исключила из своих рядов Харви Вайнштейна и Билла Косби, против которых также были выдвинуты обвинения в сексуальных домогательствах.


26 июня стало известно, что киноакадемия пригласила вступить в свои ряды рекордное количество новых участников — всего было разослано 928 приглашений.


Против Полански неоднократно выдвигались обвинения в сексуальных домогательствах. В 1978 году режиссер сбежал из Штатов, когда лос-анджелесский суд признал его виновным в растлении несовершеннолетней. Впоследствии с обвинениями выступили еще четыре женщины.


В 2009-м Полански был задержан в Цюрихе по запросу властей США. После нескольких месяцев домашнего ареста постановщика отпустили под залог в размере 4,5 млн долларов, а через год швейцарский минюст постановил отказать американской стороне в выдаче Полански и окончательно освободил его.


Deadline",9 июля 2018
Телеканал BBC Two выпустит сериал по мотивам врачебных мемуаров,"Канал BBC Two заказал производство восьмисерийного сериала «Будет больно» (This is Going to Hurt), основанного на одноименных мемуарах бывшего врача-ординатора Адама Ки. Независимая кинокомпания Sister Pictures спродюсирует проект.


Книга, сочетающая в себе комедию и драму, честно рассказывает о непростой работе врача. Ки тайно записывал все, что с ним происходило во время бессонных дней и ночей. Он пишет о бессчетных, жизненно важных решениях, принятых за несколько секунд, о 97-часовой рабочей неделе, о непрекращающемся потоке разнообразных жидкостей и о том, что счетчики для парковки у госпиталя зарабатывают больше врачей.


Книга Ки появилась на прилавках книжных магазинов в сентябре 2017 года и быстро стала бестселлером, ворвавшись на первое место списка Sunday Times.


Ки лично адаптирует первоисточник под формат 45-минутных эпизодов и возьмет на себя функции исполнительного продюсера сериала.


Deadline",9 июля 2018
Второй сезон «Полового воспитания» выйдет в начале 2020 года,"Стало известно, когда на экраны вернется сериал «Половое воспитание»: второй сезон увидит свет 17 января 2020 года. Стрим-сервис Netflix объявил дату релиза продолжения новым баннером со всеми основными персонажами проекта. «Скорее искусство, чем наука» — гласит теглайн второго сезона.Get in losers, the new term is starting. Sex Education s2 streaming 17 January 2020. pic.twitter.com/itDARGz5ba& mdash; Netflix UK & amp; Ireland (@NetflixUK) November 25, 2019 Этим же баннером разрисовали стену, на фоне которой впоследствии сфотографировался Коннор Суинделлс, исполнитель роли Адама Гроффа.Look at this naughty boy snapping our beautiful mural pic.twitter.com/AX3d6rv3tU& mdash; Netflix UK & amp; Ireland (@NetflixUK) November 25, 2019 «Половое воспитание» — история старшеклассника Отиса Милбурна, который как огня боится всего, что связано с сексом. А всему виной родители — два психотерапевта в разводе. Зато благодаря этому он оказывается идеальным терапевтом для других учеников своей школы, которые, в отличие от Отиса, к сексу стремятся, что, конечно же, приносит им многочисленные проблемы и разочарования. Объединившись с одноклассницей Мэйв, которая ищет способы подзаработать, Отис открывает платную консультацию для одношкольников, которая немедленно начинает пользоваться огромной популярностью.Все достоинства и недостатки «Полового воспитания» главный редактор КиноПоиска Лиза Сурганова и автор канала «Запасаемся попкорном» Иван Филиппов обсудили в выпуске подкаста «В предыдущих сериях».Нажмите «Буду смотреть», и мы предупредим вас, когда проект станет доступен для просмотра.",25 ноября 2019
Автор «Хорошего мальчика» начала съемки фильма «Выше неба»,"Режиссер Оксана Карас, чей фильм «Хороший мальчик» в 2016 году победил на «Кинотавре» и собрал в прокате более 70 млн рублей, начала съемки драмы «Выше неба». Фестивальная премьера еще одной ее картины — «У ангела ангина» по повести «Сестра печали» писателя-фронтовика Вадима Шефнера — состоится в ближайшее время.


Главная героиня фильма «Выше неба» — больная пороком сердца восемнадцатилетняя девушка (Таисия Вилкова, «Елки новые», «Гоголь. Вий»), которая вместе с семьей — старшей сестрой (Полина Виторган), папой (Алексей Агранович, «Мифы», «Кислота»), мамой (Виктория Толстоганова, «Магнитные бури», «Палач») — приезжает в пансионат на отдых. Отношения с нарциссической гиперконтролирующей матерью — это один план повествования, семейный. Второй план — романтический, потому что в пансионате героиня встретит свою первую любовь. Третий план, похоже, будет детективным: в самом начале фильма на пляж перед пансионатом течением выносит труп. Все события фильма умещаются в одну неделю июля.


На главную мужскую роль Оксана Карас после проб выбрала артиста «Гоголь-центра» Филиппа Авдеева («Класс коррекции», «Лето», «Кислота»). «Я вдруг поймала себя на мысли, что у меня половина актеров в этом фильме из „Гоголь-центра“, — комментирует  Карас. — Кроме Авдеева, еще Артем Немов, Алексей Агранович, Полина Ауг и Юлия Ауг были на пробах. У „гоголевских“ актеров прекрасная пластическая школа, у них в этом смысле вообще никогда не возникает проблем. Они очень музыкальны, внутренне свободны, без зажимов, никогда не говорят „нет“. Они с легкостью пробуют новое, экспериментируют. И с ними очень интересно общаться, у них очень четкая гражданская позиция».
Таисия Вилкова, Алексей Агранович,Полина Виторган и Виктория Толстоганова на съемках фильма «Выше неба»
Лучшую подругу главной героини, Риту, играет Дарья Жовнер, которую после первой (и пока единственной) главной роли в фильме «Теснота» Кантемира Балагова продюсеры и режиссеры буквально засыпали предложениями. Оксана Карас рассказывает, что год назад предлагала Жовнер маленькую роль в картине «У ангела ангина», но Дарья отказалась. А на роль в «Выше неба» неожиданно сразу согласилась — понравился материал. Играть надо будет, как говорит Карас, «экзальтированную барышню, у которой еще и особые отношения с папой главной героини». На эту роль пробовалось много актрис, но только у Жовнер было стопроцентное попадание, говорит Карас.


Роль, которую в фильме играет Филипп Авдеев, изначально предназначалась Семену Трескунову, который сыграл в «Хорошем мальчике». И сам фильм «Выше неба» должен был по плану сниматься еще в прошлом июле. Но деньги на фильм собрать не успели, и Карас за год сняла с Трескуновым другую картину, «У ангела ангина». Там одного и того же героя в разном возрасте играют два актера: в 1940-е годы — Семен Трескунов, в 1960-е — Евгений Цыганов. «Я подумала, что не хочу ждать целый год, чтобы иметь возможность снять Семена еще раз, — объясняет Оксана Карас. — К тому же я была на восьмом месяце беременности и «Ангела» снимала уже на девятом».


Выбирая, где снимать «Выше неба», Оксана Карас рассматривала Репино под Петербургом, потом Крым, но в итоге приняла решение остановиться на одном из подмосковных пансионатов. Проблема только в том, что герои фильма будут много летать на парапланах (отсюда и название «Выше неба»), а для парапланов нужны восходящие потоки воздуха. В Крыму они есть, а в Подмосковье — нет. Этот вопрос создателям картины еще предстоит решить.",9 июля 2018
Стивен Спилберг помог актрисе получить роль в сиквеле «Человека-муравья»,"Пейтон Рид, постановщик блокбастера «Человек-муравей и Оса», рассказал в интервью LA Times, как во время подготовки к съемкам сиквела он получил письмо от самого Стивена Спилберга. В нем знаменитый постановщик рекомендовал Риду пригласить в проект Ханну Джон-Кэймен.


«Там было: „Дорогой Пейтон! Я рад, что ты работаешь над картиной, и просто хотел замолвить словечко за Ханну. Мне посчастливилось с ней поработать, и она потрясающая. Подписано: Стивен Спилберг“», — рассказал Рид.


«Письмо от самого Стивена Спилберга — блин, такое даже представить сложно, — продолжает Джон-Кэймен. — Это очень круто и огромная честь».


Джон-Кэймен снималась в блокбастере Спилберга «Первому игроку приготовиться», где сыграла подручную антагониста в исполнении Бена Мендельсона. Кроме этого, британская актриса успела сняться в сериалах «Черное зеркало», «Игра престолов», «Плохие» и «Кайфоломы».


В сиквеле «Человека-муравья» стараниями Спилберга Джон-Кэймен исполнила роль Призрака, которая умеет проходить сквозь стены и имеет личные счеты с Хэнком Пимом (Майкл Дуглас).

«Человек-муравей и Оса» уже в российском прокате.


LA Times",9 июля 2018
