head,text,date
«Леденящие душу приключения Сабрины»: тизер с датой премьеры третьего сезона,"Netflix опубликовал первый тизер третьего сезона сериала «Леденящие душу приключения Сабрины» («Chilling Adventures of Sabrina»), в котором раскрывается дата премьеры.Благодаря первому анонсу вы знаем, что официальная дата релиза третьего сезона была назначена на 24 января 2020 года. В конце второго сезона Сабрина пообещала спасти своего парня Ника, который отправился в ад. Третий сезон перенесет нас вместе с главной героиней и ее друзьями в адские земли.Сериал переосмыслит на новый лад классическое происхождение и приключения ведьмы Сабрины. Нас ждет мрачная история взросления с элементами ужаса, оккультизма и, конечно же, колдовства. Черпая вдохновение в «Ребенке Розмари» и «Экзорцисте», эта адаптация покажет внутреннюю борьбу Сабрины, пытающейся примирить свою двойственную природу — получеловека, полуведьмы. Попутно она будет бороться против сил зла, которые угрожают ей, ее семье и миру людей.В сериале играют: Кирнан Шипка, Люси Дэвис, Миранда Отто; Шанс Пердомо, Мишель Гомес, Джаз Синклер, Ричард Койл и Росс Линч.Шоураннер Ривердейла, Роберто Агирре-Сакаса пишет сценарий и является исполнительным продюсером.Похожее"," 8 декабря, 2019  - 19:32 "
«Тёрнер и Хуч»: Disney+ снимет сериал по классической полицейской комедии,"Хотя планы потокового новичка Disney+ уже и так забиты ребутами классических проектов, сегодня стало известно, что началась разработка сериала по классической полицейской комедии «Тёрнер и Хуч» («Turner & Hooch») вышедшей в 1989 году.Оригинальный фильм рассказывал о калифорнийском детективе Скотте Тернере (Том Хэнкс). Его  жизнь полностью меняется после того, как он вынужден стать напарником вечно пускающей слюни собаки по кличке Хуч. Бордоский дог стал свидетелем убийства своего владельца и может опознать убийцу.Сценарий напишет Мэтт Никс («Одаренные» и «Черная метка»). Он также станет исполнительным продюсером сериала. Съемками займется 20th Century Fox TV — недавно купленное подразделение Диснея.Похожее"," 18 декабря, 2019  - 01:21 "
«Волна»: трейлер научно-фантастической комедии с Джастином Лонгом,"Компания Epic Pictures Group опубликовала постер и новый трейлер  научно-фантастической комедии «Волна» («The Wave») с Джастином Лонгом.Гилл Клабин снял фильм по сценарию Карла Лукаса.Фрэнк — юрист, который специализируется на страховых компаниях.  Чтобы отпраздновать предстоящее повышение по службе, он вместе со своим коллегой Джеффом отправляется кутить. Тут Фрэнк внезапно принимает галлюциноген, который полностью меняет его восприятие мира. Новое состояние ведет его в психоделическом поиске через заседание правления, ночные клубы, перестрелки и альтернативные измерения. Метаясь между реальностью и вымыслом, Фрэнк оказывается втянутым в поиски пропавшей девушки, самого себя и своего кошелька.В фильме также играют: Томми Флэнаган, Дональд Фэйсон, Катя Винтер и Блайт Ховард.Цифровая премьера фильма стартует 17 января 2020 года.Похожее"," 26 декабря, 2019  - 12:44 "
«Лучший стрелок: Мэверик»: ролик «За кадром» о полетах Тома Круза на реальных истребителях,"Настоящий полет. Настоящие скорости. Чистый адреналин. Студия Paramount Pictures опубликовала ролик о съемках авиа-боевика «Лучший стрелок: Мэверик» («Top Gun: Ma verick») с Томом Крузом.Джозеф Косински срежиссировал фильм по сценарию Питера Крэйга, Джастина Маркса и Эрика Уоррена Сингера.Лейтмотивом сюжета станет закат эры воздушных боев и постепенная замена истребителей пятого поколения беспилотными дронами. Круз снова играет Маверика, который теперь работает авиаинструктором на флоте. По словам Круза: «Это будет фильм о соревновании, и он будет в том же духе, что и первая часть».В фильме играют: Том Круз, Вэл Килмер, Эд Харрис, Джон Хэмм, Майлз Теллер, Дженнифер Коннелли и Глен Пауэлл.Премьера фильма стартует 16 июля 2020 года.Похожее"," 19 декабря, 2019  - 22:20 "
Вышел постер и первый тизер-трейлер хоррор-триллера «До гражданской войны»,"Студия Lionsgate опубликовала постер и первый тизер-трейлер хоррор-триллера «До гражданской войны» («Antebellum»).Джерард Буш и Кристофер Ренц написали сценарий, по которому и сняли фильм.Успешная писательница Вероника Хенли оказывается в ловушке ужасающей реальности и должна раскрыть загадочную тайну, пока не стало слишком поздно.В фильме играют: Жанель Моне, Эрик Ланж, Джена Мэлоун, Джек Хьюстон и Кирси Клемонс.Премьера фильма состоится 23 апреля 2020 года. Похожее"," 30 ноября, 2019  - 08:58 "
«Маленькая Америка»: трейлер комедийного сериала от Apple TV+,"Восемь историй. Одна мечта. Потоковый сервис Apple TV+ опубликовал трейлер своей новой комедийной антологии «Маленькая Америка» («Little America»).Сериал выходит за рамки заголовков журнала Epic Magazine (откуда взяты истории), чтобы воплотить в жизнь забавные, романтичные, душевные и удивительные истории иммигрантов в Америке. Первый сезон состоит из восьми получасовых эпизодов. Каждый из них  расскажет свою уникальную историю о приезжих из разных уголков со всего мира.Ли Айзенберг («Офис») стал исполнительным продюсером, шоураннером и сценаристом проекта.В сериале играют: Анджела Лин, X. Ли, Мадлен Чанг и Джастин Адут.Премьера сериала стартует 17 января 2020 года. Похожее"," 19 декабря, 2019  - 22:12 "
«Последняя пуля»: вышел трейлер боевика с Гаем Пирсом," Компания Momentum Pictures опубликовала постер и трейлер своего нового боевика «Последняя пуля» («Disturbing the Peace») с Гаем Пирсом в главной роли.Алек Шеклтон снял фильм по сценарию Чака Хастмайра.Маршал из маленького городка, не носит оружия с тех пор, как он покинул «Техасских рейнджеров» после трагической перестрелки. Но он снова должен взять в руки пистолет. На этот раз, чтобы сражаться с бандой байкеров, которые вторглись в город, чтобы осуществить наглое и жестокое ограбление.В фильме также играют: Девон Сава, Барби Бланк, Джейк Гродник и Келли Грейсон.Премьера фильма стартует 17 января 2020 года.Похожее"," 26 декабря, 2019  - 13:27 "
Революция начинается в трейлере финального сезона фантастического триллера «Человек в высоком замке»,"Потоковая платформа Prime Video опубликовала трейлер финального сезона фантастического триллера «Человек в высоком замке» («The Man In The High Castle»).Сериал, основанный на фантастическом романе Филиппа К. Дика, показывает альтернативную версию мировой истории. Союзники проиграли Вторую мировую войну. Америка поделена между Японией и Германией.В четвертом сезоне начнется революция, которая призвана свергнуть тоталитарное правительство, желающее начать завоевание альтернативных миров.С третьего сезона сериалом шоураннит Эрик Овермайер («Босх»).В сериале играют: Алекса Давалос, DJ Куоллс, Руперт Эванс, Чела Хорсдэл, Кэри-Хироюки Тагава и Руфус Сьюэлл.Премьера финального сезона стартует 15 ноября 2019 года. Похожее"," 17 октября, 2019  - 17:04 "
«Проект Джорджтаун»: Адам Голдберг сыграет в триллере с Расселом Кроу,"Адам Голдберг известный поклонникам по сериалу «Фарго» сыграет в триллере «Проект Джорджтаун» («The Georgetown Project») от студии Miramax.Джошуа Джон Миллер напишет сценарий и снимет по нему фильм.Рассел Кроу сыграет главного героя — актера, который начинает вести себя странно, работая над съемками фильма ужасов. Его дочь, с которой у мужчины не самый лучшие отношения, начинает задумываться, вернулся ли ее отец к своим старым пристрастиям, или в нем поселилась темная, таинственная сила?В состав актеров также входят: Райан Симпкинс, Хлоя Бэйли, Сэм Уортингтон и Дэвид Хайд Пирс.Продюсером фильма станет Кевин Уильямсон, сценарист сериала «Крик» и создатель сериала «Дневники вампира».Похожее"," 19 ноября, 2019  - 17:48 "
Первый официальный кадр из финального сезона сериала «Агенты «Щ.И.Т.»»,"Появилась первая официальная фотография из финального сезона сериала «Агенты «Щ.И.Т.»» («Agents of S.H.I.E.L.D.»). Шоу конец, но уже поговаривают о возвращении Коулсона в общую киновселенную Марвел.В седьмом сезоне, состоящем из 13 эпизодов, мы увидим исторические события, важные для всей вселенной Marvel.В финале шестого сезона главные герои сериала встретились на борту «Зефира». Оказалось, что у агентов есть еще одна важная миссия. Вот только не «Где», а «Когда?» агент Фитц послал их на этот раз.7-й сезон «Агентов» должен начаться в 1931 году в Нью-Йорке. И расскажут нам о появлении Агентства.Похожее"," 26 декабря, 2019  - 13:02 "
"«Джентльмены»: Гай Ричи представляет второй трейлер духовного наследника «Куш» и «Карты, деньги, два ствола»","STX выложила новый трейлер криминальной комедии Гая Ричи «Джентльмены» («The Gentlemen»).Ричи написал сценарий и срежиссировал бальзам на душу фанатов «Карты деньги два ствола» и «Большой Куш».В фильме играют: обладатель Золотого Глобуса Колин Фаррелл; Мэтью МакКонахи («Пляжный бомж»); Чарли Ханнэм («Сыны Анархии»); Генри Голдинг («Сумасшедшие богатые азиаты»); Хью Грант («Паддингтон 2»), Джереми Стронг («Наследники») и Мишель Докери («Аббатство Даунтон»).Ричи написал сценарий вместе с Марном Дэвисом и Айваном Аткинсоном. Он также стал продюсером фильма. Нам обещают проект, который станет идейным миксом фильмов «Сексуальная тварь» и «Аббатство Даунтон».Действие фильма происходит в Лондоне. Классический английский наркобарон будет пытаться продать свою прибыльную империю семье миллиардеров из Оклахомы. Визуальный коктейль Ричи будет подан с обилием типичного для «Куша» и «Карты, деньги, два ствола» веселья.Премьера фильма состоится 13 февраля 2020 года.Похожее"," 24 декабря, 2019  - 08:59 "
